age,tenure,monthly_charges,total_charges,num_products,contract_type,payment_method,internet_service,online_security,senior_citizen,target
26,23.0,79.9,1837.7,1,Month-to-month,Electronic check,Fiber optic,No,0,1
28,11.0,79.74,877.14,2,Month-to-month,Electronic check,Fiber optic,No,0,1
19,14.0,112.19,1570.66,1,Month-to-month,Electronic check,Fiber optic,No,0,1
22,14.0,96.46,1350.44,2,Month-to-month,Credit card,Fiber optic,No,0,1
18,9.0,113.52,1021.68,1,Month-to-month,Electronic check,Fiber optic,No,0,1
27,14.0,108.2,1514.8,2,Month-to-month,Electronic check,Fiber optic,No,1,1
34,19.0,92.43,1756.17,2,One year,Electronic check,Fiber optic,No,0,1
34,24.0,108.27,2598.48,2,Month-to-month,Electronic check,Fiber optic,No,0,1
28,23.0,109.28,2513.44,1,Month-to-month,Electronic check,Fiber optic,No,0,1
32,18.0,113.48,2042.64,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
21,10.0,97.9,979.0,2,Month-to-month,Electronic check,Fiber optic,No,1,1
30,22.0,111.21,2446.62,2,Month-to-month,Electronic check,Fiber optic,No,1,1
32,17.0,97.77,1662.09,2,Month-to-month,Electronic check,Fiber optic,No,1,1
19,8.0,87.74,701.92,1,Month-to-month,Electronic check,Fiber optic,No,1,1
34,10.0,111.81,1118.1,1,Month-to-month,Electronic check,Fiber optic,No,1,1
34,16.0,83.85,1341.6,2,Month-to-month,Credit card,Fiber optic,No,0,1
29,3.0,72.85,218.55,1,Month-to-month,Electronic check,Fiber optic,No,0,1
28,12.0,92.87,1114.44,2,One year,Electronic check,Fiber optic,Yes,0,1
19,4.0,98.26,393.04,2,Two year,Credit card,Fiber optic,No,0,1
30,11.0,79.57,875.27,1,Month-to-month,Electronic check,Fiber optic,No,0,1
32,21.0,113.03,2373.63,1,Month-to-month,Electronic check,Fiber optic,No,0,1
30,16.0,88.05,1408.8,1,Month-to-month,Electronic check,Fiber optic,No,1,1
34,11.0,85.6,941.6,2,One year,Electronic check,No,No,0,1
25,9.0,116.38,1047.42,2,Month-to-month,Electronic check,No,Yes,1,1
25,8.0,79.66,637.28,1,Month-to-month,Credit card,Fiber optic,Yes,0,1
22,4.0,80.69,322.76,1,Month-to-month,Electronic check,Fiber optic,No,0,1
30,8.0,86.28,690.24,2,Month-to-month,Electronic check,Fiber optic,No,0,1
18,5.0,112.78,563.9,1,Month-to-month,Electronic check,Fiber optic,No,1,1
27,8.0,106.44,851.52,2,Month-to-month,Electronic check,Fiber optic,No,0,1
25,1.0,113.19,113.19,1,Month-to-month,Electronic check,No,No,1,1
29,7.0,90.61,634.27,2,Two year,Electronic check,Fiber optic,No,0,1
34,20.0,106.54,2130.8,2,Month-to-month,Credit card,Fiber optic,No,0,1
30,19.0,91.84,1744.96,1,Month-to-month,Electronic check,Fiber optic,No,1,1
32,15.0,82.74,1241.1,1,Month-to-month,Electronic check,Fiber optic,No,0,1
31,17.0,77.85,1323.45,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
29,0.0,116.84,0.0,2,Month-to-month,Credit card,Fiber optic,No,0,1
21,14.0,102.65,1437.1,1,Month-to-month,Electronic check,Fiber optic,No,1,1
20,18.0,89.61,1612.98,1,Month-to-month,Electronic check,Fiber optic,No,0,1
28,19.0,74.67,1418.73,1,Month-to-month,Electronic check,No,Yes,0,1
25,24.0,108.64,2607.36,2,Month-to-month,Electronic check,Fiber optic,No,0,1
24,2.0,81.05,162.1,1,Month-to-month,Electronic check,Fiber optic,No,0,1
23,12.0,100.15,1201.8,2,Month-to-month,Electronic check,Fiber optic,No,1,1
21,20.0,97.79,1955.8,2,Month-to-month,Electronic check,Fiber optic,No,1,1
34,0.0,116.38,0.0,2,Month-to-month,Electronic check,Fiber optic,No,0,1
33,6.0,114.43,686.58,2,Month-to-month,Electronic check,Fiber optic,No,0,1
20,2.0,118.73,237.46,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
34,2.0,99.09,198.18,2,Month-to-month,Electronic check,Fiber optic,No,0,1
34,1.0,104.33,104.33,2,One year,Credit card,Fiber optic,Yes,1,1
21,13.0,77.13,1002.69,2,Month-to-month,Electronic check,Fiber optic,Yes,1,1
21,15.0,103.93,1558.95,2,Month-to-month,Credit card,Fiber optic,No,0,1
18,9.0,114.39,1029.51,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
28,3.0,70.92,212.76,2,Month-to-month,Electronic check,Fiber optic,No,0,1
34,17.0,103.95,1767.15,2,Month-to-month,Electronic check,Fiber optic,No,1,1
21,6.0,100.79,604.74,1,Month-to-month,Electronic check,Fiber optic,No,0,1
22,18.0,114.26,2056.68,2,One year,Credit card,Fiber optic,No,0,1
23,7.0,112.56,787.92,2,Month-to-month,Electronic check,Fiber optic,No,1,1
30,21.0,95.73,2010.33,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
25,12.0,87.97,1055.64,1,Month-to-month,Electronic check,Fiber optic,No,1,1
22,4.0,98.47,393.88,2,Month-to-month,Electronic check,Fiber optic,No,1,1
20,3.0,106.55,319.65,2,Month-to-month,Electronic check,No,No,1,1
28,16.0,96.85,1549.6,2,Month-to-month,Electronic check,Fiber optic,No,0,1
29,22.0,112.06,2465.32,1,Month-to-month,Credit card,No,No,0,1
28,8.0,88.27,706.16,1,One year,Electronic check,Fiber optic,No,1,1
22,19.0,108.95,2070.05,1,One year,Credit card,Fiber optic,Yes,0,1
27,16.0,93.41,1494.56,2,Month-to-month,Electronic check,Fiber optic,No,0,1
20,10.0,87.87,878.7,1,Month-to-month,Electronic check,Fiber optic,No,1,1
33,18.0,96.65,1739.7,2,Month-to-month,Credit card,Fiber optic,No,1,1
31,16.0,112.02,1792.32,2,Month-to-month,Electronic check,Fiber optic,No,0,1
20,20.0,107.68,2153.6,2,Month-to-month,Credit card,Fiber optic,No,0,1
